approve,id,channel_id,channel_title,title,description,duration_sec,published_at,embeddable,yt_rating,note
○,gQjoAQK1hpc,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 イギリス市民革命５ 産業革命の影響 （17分）,,1020,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,eiacQ80QmGU,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 フランス革命０ ガイダンス （10分）,,600,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,XFCFAE4Zra4,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 フランス革命１ 革命の勃発 （19分）,,1140,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,lgB7c7L1p3g,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 フランス革命４ ナポレオン時代の開始 （14分）,,840,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,2sSvXI3cvg4,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 フランス革命５ ナポレオン時代の終焉 （14分）,,840,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,V0IrRYbjYGE,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 帝国主義の時代０ ガイダンス （11分）,,660,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,WYfOwFm36eE,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 第一次世界大戦０ ガイダンス （7分）,,420,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,Pe2sMV9YfJs,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 第一次世界大戦１ ２０世紀初頭の情勢 （22分）,,1320,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,fhcuGhsbVw0,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 第一次世界大戦２ 大戦の勃発 （15分）,,900,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,VqOnt0EEjUA,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 第一次世界大戦３ 大戦の戦局 （20分）,,1200,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,8CD01Xrs4l8,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 第二次世界大戦４ 日本支配への抵抗 （19分）,,1140,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,Ri-NJkIi2w0,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 冷戦の時代１ 第二次世界大戦後の欧州 （15分）,,900,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,Vut73bew4Nk,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 冷戦の時代２ 冷戦の始まり （14分）,,840,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
